# v_mps,w_radps,dt_s,cmd_v,cmd_w
-0.061,0.075,0.020007848739624023,-0.402124412500608,0.2216213615173332
-0.08,0.09,0.019994735717773438,-0.4087899725439075,0.21226386210638307
-0.115,0.112,0.020004749298095703,-0.4087899725439075,0.21226386210638307
-0.115,0.112,0.020000219345092773,-0.4087899725439075,0.21226386210638307
-0.153,0.139,0.020000934600830078,-0.4087899725439075,0.21226386210638307
-0.204,0.138,0.02000141143798828,-0.3922102600664664,0.2137192298664755
-0.207,0.185,0.019999265670776367,-0.3922102600664664,0.2137192298664755
-0.232,0.211,0.01999950408935547,-0.3922102600664664,0.2137192298664755
-0.304,0.159,0.01999688148498535,-0.3922102600664664,0.2137192298664755
-0.325,0.17,0.0200192928314209,-0.4541624233268737,0.20691131951921177
-0.325,0.17,0.01999044418334961,-0.4541624233268737,0.20691131951921177
-0.363,0.221,0.01998615264892578,-0.4541624233268737,0.20691131951921177
-0.376,0.207,0.020003080368041992,-0.4040445733610023,0.21409467366030405
-0.404,0.162,0.019995689392089844,-0.4040445733610023,0.21409467366030405
-0.404,0.162,0.020011186599731445,-0.4040445733610023,0.21409467366030405
-0.432,0.188,0.019997835159301758,-0.35244881471116163,0.2504799284571646
-0.44,0.155,0.01999497413635254,-0.35244881471116163,0.2504799284571646
-0.463,0.13,0.0200042724609375,-0.35244881471116163,0.2504799284571646
-0.423,0.218,0.020000457763671875,-0.35244881471116163,0.2504799284571646
-0.357,0.262,0.02000904083251953,-0.3318896838322929,0.20236408084619517
-0.34,0.293,0.01997661590576172,-0.3318896838322929,0.20236408084619517
-0.398,0.22,0.02000904083251953,-0.3318896838322929,0.20236408084619517
-0.404,0.222,0.019997358322143555,-0.2772146104447729,0.19627602292900834
-0.365,0.27,0.020000934600830078,-0.2772146104447729,0.19627602292900834
-0.365,0.27,0.020012855529785156,-0.2772146104447729,0.19627602292900834
-0.33,0.291,0.019990205764770508,-0.2820278915648043,0.199602235227143
-0.33,0.291,0.0200045108795166,-0.2820278915648043,0.199602235227143
-0.317,0.251,0.02000117301940918,-0.2820278915648043,0.199602235227143
-0.317,0.251,0.019979000091552734,-0.2820278915648043,0.199602235227143
-0.279,0.241,0.020007610321044922,-0.26202742313514266,0.18619996781879183
-0.275,0.223,0.020013093948364258,-0.26202742313514266,0.18619996781879183
-0.267,0.203,0.01999831199645996,-0.26202742313514266,0.18619996781879183
-0.261,0.187,0.019983768463134766,-0.24395840420006845,0.17382722820429583
-0.248,0.192,0.020003795623779297,-0.24395840420006845,0.17382722820429583
-0.24,0.183,0.020000457763671875,-0.27097538691351547,0.19014127814852516
-0.229,0.172,0.020000934600830078,-0.27097538691351547,0.19014127814852516
-0.226,0.169,0.019999265670776367,-0.27097538691351547,0.19014127814852516
-0.27,0.126,0.019992351531982422,-0.27097538691351547,0.19014127814852516
-0.27,0.126,0.020025253295898438,-0.19758182995217474,0.14068606627903296
-0.234,0.189,0.020008087158203125,-0.19758182995217474,0.14068606627903296
