# v_mps,w_radps,dt_s,cmd_v,cmd_w
0.338,0.006,0.01999950408935547,0.55,0.0
0.4,0.007,0.020000934600830078,0.55,0.0
0.433,0.007,0.020000457763671875,0.55,0.0
0.465,-0.003,0.020000696182250977,0.55,0.0
0.465,-0.003,0.019998550415039062,0.55,0.0
0.495,-0.009,0.01999950408935547,0.55,0.0
0.528,-0.003,0.020002126693725586,0.55,0.0
0.528,-0.003,0.019999980926513672,0.55,0.0
0.585,0.0,0.019998550415039062,0.55,0.0
0.594,0.006,0.019999265670776367,0.55,0.0
0.599,0.008,0.01999974250793457,0.55,0.0
0.599,0.008,0.02000260353088379,0.55,0.0
0.599,0.0,0.020000457763671875,0.55,0.0
0.586,0.0,0.019998550415039062,0.55,0.0
0.586,0.0,0.019999265670776367,0.55,0.0
0.567,0.007,0.01999950408935547,0.55,0.0
0.549,0.007,0.020003318786621094,0.55,0.0
0.549,0.007,0.02001643180847168,0.55,0.0
0.541,0.002,0.01998281478881836,0.55,0.0
0.537,-0.002,0.019997835159301758,0.55,0.0
0.541,-0.002,0.01999974250793457,0.55,0.0
0.538,0.002,0.020000457763671875,0.55,0.0
0.537,0.001,0.02000117301940918,0.55,0.0
0.543,-0.002,0.01999974250793457,0.55,0.0
0.543,-0.002,0.019998788833618164,0.55,0.0
0.538,0.002,0.01999950408935547,0.55,0.0
0.536,0.002,0.020000457763671875,0.55,0.0
0.547,-0.001,0.020003080368041992,0.55,0.0
0.541,0.0,0.019997596740722656,0.55,0.0
0.538,-0.003,0.02000284194946289,0.55,0.0
0.538,-0.003,0.019995689392089844,0.55,0.0
0.54,0.0,0.020000219345092773,0.55,0.0
0.537,0.005,0.019987106323242188,0.55,0.0
0.541,0.0,0.020015478134155273,0.55,0.0
0.541,0.0,0.019999027252197266,0.0,1.1
0.535,0.002,0.01999950408935547,0.0,1.1
0.543,-0.003,0.020001649856567383,0.0,1.1
0.526,0.015,0.020001649856567383,0.0,1.1
0.507,0.036,0.01999664306640625,0.0,1.1
0.507,0.0,0.019999265670776367,0.0,-1.1
0.516,0.003,0.02000141143798828,0.0,-1.1
0.518,-0.002,0.019997835159301758,0.0,-1.1
0.522,-0.013,0.020000219345092773,0.0,-1.1
0.343,-0.272,0.17999958992004395,0.55,0.0
0.285,-0.345,0.020002126693725586,0.55,0.0
0.262,-0.38,0.020002365112304688,0.55,0.0
0.281,-0.344,0.019999027252197266,0.55,0.0
0.281,-0.344,0.01999950408935547,0.55,0.0
0.527,-0.003,0.020004749298095703,0.55,0.0
0.545,-0.006,0.019995689392089844,0.55,0.0
0.554,-0.012,0.01999831199645996,0.55,0.0
0.554,-0.012,0.019999265670776367,0.55,0.0
0.574,-0.024,0.020000219345092773,0.55,0.0
0.57,-0.026,0.020000696182250977,0.55,0.0
0.569,-0.03,0.019999980926513672,0.55,0.0
0.57,-0.041,0.020000457763671875,0.55,0.0
0.568,-0.041,0.019999027252197266,0.55,0.0
0.567,-0.038,0.01999974250793457,0.55,0.0
0.567,-0.038,0.019999980926513672,0.55,0.0
0.557,-0.03,0.020002126693725586,0.55,0.0
0.557,-0.03,0.019998788833618164,0.55,0.0
0.556,-0.027,0.019999265670776367,0.55,0.0
0.556,-0.027,0.019999265670776367,0.55,0.0
0.547,-0.009,0.019967079162597656,0.55,0.0
0.55,-0.012,0.020031452178955078,0.55,0.0
0.544,-0.008,0.020001888275146484,0.55,0.0
0.542,-0.002,0.01999974250793457,0.55,0.0
0.544,-0.003,0.020000696182250977,0.55,0.0
0.544,-0.003,0.02000117301940918,0.55,0.0
0.539,0.006,0.02000117301940918,0.55,0.0
0.539,0.006,0.019998550415039062,0.55,0.0
0.539,0.0,0.020000457763671875,0.55,0.0
0.537,0.002,0.019999980926513672,0.55,0.0
0.541,0.0,0.019998788833618164,0.55,0.0
0.541,0.0,0.020004749298095703,0.55,0.0
0.545,-0.008,0.02000117301940918,0.55,-1.1
0.548,-0.016,0.019999265670776367,0.55,-1.1
0.543,-0.024,0.01999974250793457,0.55,-1.1
0.543,-0.024,0.0200042724609375,0.55,-1.1
0.582,-0.472,0.019999027252197266,0.55,1.1
0.51,-0.564,0.020002365112304688,0.55,1.1
0.501,-0.549,0.02000880241394043,0.55,1.1
0.525,-0.522,0.019995927810668945,0.55,1.1
0.536,0.531,0.01999950408935547,0.0,-1.1
0.536,0.531,0.020000219345092773,0.0,-1.1
0.504,0.56,0.020001888275146484,0.0,-1.1
0.521,0.503,0.020000219345092773,0.0,-1.1
-0.55,-0.534,0.019998550415039062,-0.55,0.0
