#v_mps,w_radps,dt_s,cmd_v,cmd_w
0.067,0.008,0.04394888877868652,0.6547405321694544,0.0070230931860539554
0.091,0.007,0.04394888877868652,0.6547405321694544,0.0070230931860539554
0.091,0.007,1.430511474609375e-05,0.6547405321694544,0.0070230931860539554
0.118,0.02,2.7179718017578125e-05,0.6547405321694544,0.0070230931860539554
0.139,0.041,0.043923377990722656,0.6944105425694543,0.01008187485081119
0.162,0.036,7.867813110351562e-06,0.6944105425694543,0.01008187485081119
0.162,0.036,0.013157367706298828,0.6944105425694543,0.01008187485081119
0.188,0.034,0.01999521255493164,0.6944105425694543,0.01008187485081119
0.226,0.034,0.04285883903503418,0.6944105425694543,0.01008187485081119
0.246,0.025,1.52587890625e-05,0.6944105425694543,0.01008187485081119
0.274,0.02,0.04394888877868652,0.7344394041694543,0.010141212054356424
0.295,0.021,1.0728836059570312e-05,0.7344394041694543,0.010141212054356424
0.317,0.015,0.04398036003112793,0.7344394041694543,0.010141212054356424
0.33,0.016,8.821487426757812e-06,0.7344394041694543,0.010141212054356424
0.35,0.021,0.04416966438293457,0.7747923925694543,0.017388645834094153
0.35,0.021,3.0517578125e-05,0.7747923925694543,0.017388645834094153
0.375,0.014,0.04380512237548828,0.7747923925694543,0.017388645834094153
0.412,0.0,1.0728836059570312e-05,0.7747923925694543,0.017388645834094153
0.412,0.0,0.04799938201904297,0.8150725669694543,0.02414913978517613
0.442,0.007,1.2636184692382812e-05,0.8150725669694543,0.02414913978517613
0.467,0.005,1.1444091796875e-05,0.8150725669694543,0.02414913978517613
0.49,0.004,0.04400825500488281,0.8150725669694543,0.02414913978517613
0.509,0.01,1.1444091796875e-05,0.8150725669694543,0.02414913978517613
0.531,0.009,0.009138345718383789,0.8150725669694543,0.02414913978517613
0.557,-0.005,0.019948482513427734,0.8150725669694543,0.02414913978517613
0.577,-0.003,0.042885541915893555,0.8547167113694543,0.02495514899521171
0.59,0.004,1.1444091796875e-05,0.8547167113694543,0.02495514899521171
0.613,0.005,0.04399418830871582,0.8547167113694543,0.02495514899521171
