================================================================
                VEHICLE DYNAMICS PREDICTION REPORT              
================================================================

1. OVERALL PERFORMANCE SUMMARY (Average over all samples)
---------------------------------------------------------------------------
Metric          | Kinematic    | NeuralNet    | Improvement
---------------------------------------------------------------------------
ADE             | 0.2032       | 0.1085       | +36.91%
FDE             | 0.3859       | 0.2008       | +29.27%
MAE_v           | 0.1277       | 0.0419       | +49.29%
MAE_w           | 0.0450       | 0.0319       | +21.26%
MAE_theta       | 0.0882       | 0.0519       | +31.31%
---------------------------------------------------------------------------

Note: 
  ADE = 平均位移误差,计算预测轨迹上这几十个点与真值点的平均欧氏距离。
  FDE = 终点位移误差,最后一步的位置误差
  MAE = 平均绝对误差

2. DETAILED SAMPLE LOGS
----------------------------------------------------------------------------------------------------------------------------------------------------------------
SampleID    NN_ADE      Kin_ADE     Imp_ADE     NN_FDE      Kin_FDE     Imp_FDE     NN_MAE_v    Kin_MAE_v   Imp_MAE_v   NN_MAE_w    Kin_MAE_w   Imp_MAE_w   
----------------------------------------------------------------------------------------------------------------------------------------------------------------
35.0000     0.1626      0.1837      11.5160     0.2197      0.3718      40.9265     0.0305      0.0456      33.1213     0.0247      0.0552      55.1371     
135.0000    0.1540      0.2907      47.0193     0.2890      0.3761      23.1650     0.0558      0.2171      74.3058     0.0238      0.0301      20.7701     
235.0000    0.1081      0.1360      20.5535     0.1522      0.3141      51.5536     0.0691      0.0633      -9.0406     0.0309      0.0626      50.6766     
335.0000    0.0769      0.1069      28.0909     0.1331      0.2787      52.2217     0.0278      0.0503      44.6318     0.0259      0.0660      60.6546     
435.0000    0.0918      0.1331      31.0145     0.1720      0.2348      26.7570     0.0154      0.0285      45.9429     0.0178      0.0399      55.3876     
535.0000    0.0626      0.0917      31.7117     0.1531      0.2155      28.9799     0.0310      0.0365      14.8617     0.0335      0.0327      -2.3006     
635.0000    0.1236      0.1769      30.1716     0.2403      0.3241      25.8476     0.0348      0.0365      4.5910      0.0387      0.0342      -13.1517    
735.0000    0.0627      0.0679      7.7424      0.0944      0.1200      21.3447     0.0536      0.0886      39.4913     0.0323      0.0304      -6.3426     
835.0000    0.0926      0.1032      10.2773     0.1137      0.1626      30.0456     0.0222      0.0739      69.9371     0.0217      0.0657      66.9975     
935.0000    0.2253      0.6898      67.3363     0.4623      0.8964      48.4330     0.0909      0.2971      69.3922     0.0548      0.0674      18.6541     
1035.0000   0.2217      0.2160      -2.6691     0.4433      0.4510      1.7224      0.0650      0.0846      23.1524     0.0319      0.0344      7.1476      
1135.0000   0.0984      0.1052      6.5046      0.1553      0.2620      40.7006     0.0181      0.0274      33.8060     0.0207      0.0606      65.8064     
1235.0000   0.0678      0.0947      28.4639     0.0876      0.1858      52.8706     0.0466      0.0528      11.6899     0.0332      0.0496      33.1591     
1335.0000   0.1009      0.1473      31.4994     0.2224      0.3487      36.2361     0.0323      0.0376      13.9117     0.0279      0.0341      18.0340     
1435.0000   0.0613      0.1102      44.4084     0.1166      0.3325      64.9204     0.0359      0.1606      77.6554     0.0343      0.0220      -55.9247    
1535.0000   0.0629      0.1641      61.6839     0.1780      0.4061      56.1665     0.0422      0.2350      82.0337     0.0277      0.0302      8.4056      
1635.0000   0.1563      0.4940      68.3579     0.3019      0.6420      52.9753     0.0592      0.2389      75.2024     0.0382      0.0468      18.4238     
1735.0000   0.1392      0.2966      53.0629     0.2411      0.4828      50.0717     0.0380      0.1915      80.1737     0.0340      0.0355      4.4631      
1835.0000   0.0571      0.2186      73.8778     0.2178      0.2875      24.2556     0.0340      0.2251      84.9173     0.0288      0.0323      10.9310     
1935.0000   0.1120      0.1439      22.1837     0.2348      0.4227      44.4603     0.0271      0.0596      54.5729     0.0390      0.0676      42.2991     
2035.0000   0.0997      0.1905      47.6729     0.3266      0.4053      19.4239     0.0429      0.1832      76.5986     0.0242      0.0297      18.4514     
2135.0000   0.1592      0.4930      67.7152     0.1784      0.5701      68.7103     0.0549      0.2043      73.1562     0.0303      0.0270      -12.1946    
2235.0000   0.0809      0.1787      54.7278     0.2014      0.2835      28.9513     0.0643      0.0539      -19.2046    0.0320      0.0308      -3.9300     
2335.0000   0.1725      0.1737      0.7091      0.1974      0.2253      12.3605     0.0208      0.0612      65.9768     0.0316      0.0619      49.0286     
2435.0000   0.0995      0.0846      -17.5411    0.2273      0.1444      -57.3635    0.0442      0.0829      46.6356     0.0237      0.0239      0.6007      
2535.0000   0.0716      0.1529      53.1686     0.0774      0.3726      79.2345     0.0440      0.0624      29.5309     0.0354      0.0866      59.1583     
2635.0000   0.0428      0.1420      69.8794     0.0415      0.6562      93.6786     0.0254      0.2672      90.5020     0.0295      0.0374      21.0070     
2735.0000   0.0451      0.0984      54.2035     0.0709      0.0198      -258.6470   0.0529      0.1553      65.9625     0.0550      0.0597      7.8243      
2835.0000   0.0985      0.4043      75.6282     0.1691      1.3442      87.4178     0.0470      0.4646      89.8936     0.0397      0.0443      10.4259     
2935.0000   0.1485      0.2072      28.3224     0.3055      0.4415      30.7972     0.0304      0.0468      35.1671     0.0366      0.0510      28.3011     
----------------------------------------------------------------------------------------------------------------------------------------------------------------
