================================================================
                VEHICLE DYNAMICS PREDICTION REPORT              
================================================================

1. OVERALL PERFORMANCE SUMMARY (Average over all samples)
---------------------------------------------------------------------------
Metric          | Kinematic    | NeuralNet    | Improvement
---------------------------------------------------------------------------
ADE             | 0.1967       | 0.1171       | +20.83%
FDE             | 0.3997       | 0.2202       | +18.28%
MAE_v           | 0.1217       | 0.0630       | +15.44%
MAE_w           | 0.0442       | 0.0303       | +24.59%
MAE_theta       | 0.0810       | 0.0559       | +28.22%
---------------------------------------------------------------------------

Note: 
  ADE = 平均位移误差,计算预测轨迹上这几十个点与真值点的平均欧氏距离。
  FDE = 终点位移误差,最后一步的位置误差
  MAE = 平均绝对误差

2. DETAILED SAMPLE LOGS
----------------------------------------------------------------------------------------------------------------------------------------------------------------
SampleID    NN_ADE      Kin_ADE     Imp_ADE     NN_FDE      Kin_FDE     Imp_FDE     NN_MAE_v    Kin_MAE_v   Imp_MAE_v   NN_MAE_w    Kin_MAE_w   Imp_MAE_w   
----------------------------------------------------------------------------------------------------------------------------------------------------------------
55.0000     0.1352      0.1519      10.9806     0.2411      0.2910      17.1574     0.0358      0.0496      27.8117     0.0244      0.0652      62.5243     
155.0000    0.0570      0.3659      84.4196     0.1753      0.5204      66.3182     0.1044      0.1436      27.3300     0.0296      0.0570      48.0354     
255.0000    0.2034      0.1729      -17.6700    0.3573      0.3207      -11.3992    0.0359      0.0404      11.0852     0.0236      0.0609      61.2371     
355.0000    0.0682      0.0614      -11.0544    0.1430      0.1265      -13.0720    0.0347      0.0356      2.5379      0.0271      0.0524      48.3139     
455.0000    0.0569      0.0981      42.0155     0.1182      0.2372      50.1705     0.0350      0.0330      -6.1982     0.0194      0.0354      45.1561     
555.0000    0.1348      0.1265      -6.5810     0.2570      0.2648      2.9320      0.0352      0.0390      9.7416      0.0329      0.0267      -23.2314    
655.0000    0.1182      0.1131      -4.5767     0.2355      0.2238      -5.1942     0.0285      0.0228      -25.0818    0.0254      0.0255      0.5292      
755.0000    0.1253      0.0800      -56.6655    0.1784      0.1541      -15.8000    0.0819      0.0878      6.6484      0.0319      0.0355      10.0225     
855.0000    0.1553      0.2809      44.7057     0.2868      0.8388      65.8112     0.1147      0.2826      59.4317     0.0374      0.0704      46.8560     
955.0000    0.1249      0.2019      38.1452     0.3012      0.4650      35.2121     0.0927      0.0529      -75.3490    0.0605      0.0721      16.1235     
1055.0000   0.1672      0.1988      15.8969     0.2922      0.3473      15.8510     0.0421      0.0738      42.9834     0.0224      0.0507      55.7508     
1155.0000   0.1211      0.1441      15.9857     0.1772      0.2742      35.3853     0.0272      0.0333      18.1584     0.0306      0.0666      54.1020     
1255.0000   0.0805      0.0597      -34.9098    0.1670      0.1053      -58.5886    0.0388      0.0430      9.7581      0.0243      0.0286      15.1320     
1355.0000   0.0772      0.1171      34.0398     0.2223      0.2819      21.1501     0.0393      0.0412      4.6752      0.0180      0.0210      14.0600     
1455.0000   0.0891      0.1734      48.6270     0.1797      0.4037      55.5005     0.0559      0.1334      58.1114     0.0263      0.0353      25.4207     
1555.0000   0.1382      0.3721      62.8524     0.2730      0.6806      59.8921     0.0603      0.2055      70.6450     0.0286      0.0404      29.1377     
1655.0000   0.1048      0.1640      36.0874     0.1232      0.6793      81.8633     0.0707      0.2577      72.5672     0.0427      0.0538      20.5458     
1755.0000   0.0843      0.2390      64.7418     0.1784      0.1904      6.2718      0.0726      0.3160      77.0211     0.0270      0.0349      22.7308     
1855.0000   0.0818      0.3053      73.2018     0.2121      0.5676      62.6310     0.0761      0.1546      50.7764     0.0235      0.0673      65.0931     
1955.0000   0.0834      0.1423      41.3921     0.2050      0.3662      44.0181     0.0584      0.0507      -15.3591    0.0309      0.0573      46.0402     
2055.0000   0.1253      0.1236      -1.3617     0.2652      0.1898      -39.7322    0.0393      0.0659      40.3769     0.0210      0.0185      -13.3865    
2155.0000   0.1488      0.1609      7.4986      0.2816      0.3616      22.1204     0.0965      0.1168      17.4327     0.0244      0.0277      11.8485     
2255.0000   0.1678      0.1540      -8.9664     0.3290      0.3261      -0.8946     0.0748      0.0288      -159.4912   0.0237      0.0233      -2.0018     
2355.0000   0.1121      0.1722      34.8999     0.2309      0.6049      61.8369     0.1055      0.1956      46.0749     0.0350      0.0378      7.4338      
2455.0000   0.0778      0.0678      -14.8799    0.1516      0.1444      -4.9908     0.0356      0.0713      50.1374     0.0300      0.0250      -20.2280    
2555.0000   0.1016      0.1455      30.2001     0.1624      0.3229      49.7147     0.0885      0.0371      -138.5414   0.0355      0.0553      35.8294     
2655.0000   0.1190      0.3813      68.7973     0.2260      0.7189      68.5556     0.0729      0.2814      74.0881     0.0327      0.0414      21.1088     
2755.0000   0.1801      0.1253      -43.7236    0.3069      0.0907      -238.4637   0.0922      0.1775      48.0375     0.0412      0.0590      30.1046     
2855.0000   0.1286      0.8755      85.3073     0.1017      1.6062      93.6659     0.0863      0.5329      83.8057     0.0411      0.0346      -18.7739    
2955.0000   0.1453      0.1269      -14.4987    0.2275      0.2865      20.5850     0.0577      0.0458      -25.9254    0.0367      0.0472      22.2919     
----------------------------------------------------------------------------------------------------------------------------------------------------------------
