================================================================
                VEHICLE DYNAMICS PREDICTION REPORT              
================================================================

1. OVERALL PERFORMANCE SUMMARY (Average over all samples)
---------------------------------------------------------------------------
Metric          | Kinematic    | NeuralNet    | Improvement
---------------------------------------------------------------------------
ADE             | 0.1967       | 0.1156       | +26.25%
FDE             | 0.3997       | 0.2130       | +28.64%
MAE_v           | 0.1217       | 0.0380       | +49.72%
MAE_w           | 0.0442       | 0.0280       | +27.68%
MAE_theta       | 0.0810       | 0.0507       | +33.39%
---------------------------------------------------------------------------

Note: 
  ADE = 平均位移误差,计算预测轨迹上这几十个点与真值点的平均欧氏距离。
  FDE = 终点位移误差,最后一步的位置误差
  MAE = 平均绝对误差

2. DETAILED SAMPLE LOGS
----------------------------------------------------------------------------------------------------------------------------------------------------------------
SampleID    NN_ADE      Kin_ADE     Imp_ADE     NN_FDE      Kin_FDE     Imp_FDE     NN_MAE_v    Kin_MAE_v   Imp_MAE_v   NN_MAE_w    Kin_MAE_w   Imp_MAE_w   
----------------------------------------------------------------------------------------------------------------------------------------------------------------
55.0000     0.1320      0.1519      13.0477     0.2506      0.2910      13.8767     0.0176      0.0496      64.3975     0.0199      0.0652      69.4941     
155.0000    0.1681      0.3659      54.0470     0.2533      0.5204      51.3196     0.0348      0.1436      75.7801     0.0162      0.0570      71.5771     
255.0000    0.1894      0.1729      -9.5342     0.3570      0.3207      -11.3077    0.0202      0.0404      50.0921     0.0207      0.0609      65.9856     
355.0000    0.0768      0.0614      -25.0805    0.1476      0.1265      -16.6662    0.0303      0.0356      15.0584     0.0173      0.0524      67.0576     
455.0000    0.0692      0.0981      29.4206     0.1766      0.2372      25.5470     0.0201      0.0330      38.9482     0.0185      0.0354      47.7667     
555.0000    0.1225      0.1265      3.2067      0.2456      0.2648      7.2386      0.0327      0.0390      16.2113     0.0341      0.0267      -27.6673    
655.0000    0.1217      0.1131      -7.5906     0.2368      0.2238      -5.7847     0.0219      0.0228      4.1422      0.0266      0.0255      -4.0117     
755.0000    0.0975      0.0800      -21.9326    0.1349      0.1541      12.4565     0.0373      0.0878      57.4539     0.0314      0.0355      11.4819     
855.0000    0.1421      0.2809      49.4089     0.2237      0.8388      73.3265     0.0351      0.2826      87.5665     0.0271      0.0704      61.4355     
955.0000    0.1198      0.2019      40.6974     0.1815      0.4650      60.9730     0.0296      0.0529      44.0269     0.0427      0.0721      40.8583     
1055.0000   0.1849      0.1988      6.9932      0.3146      0.3473      9.4201      0.0426      0.0738      42.3072     0.0217      0.0507      57.0856     
1155.0000   0.1561      0.1441      -8.3207     0.2574      0.2742      6.1276      0.0079      0.0333      76.3563     0.0119      0.0666      82.1826     
1255.0000   0.0426      0.0597      28.5916     0.0496      0.1053      52.8502     0.0263      0.0430      38.6776     0.0236      0.0286      17.4494     
1355.0000   0.0801      0.1171      31.5673     0.2214      0.2819      21.4696     0.0327      0.0412      20.7412     0.0242      0.0210      -15.3865    
1455.0000   0.0564      0.1734      67.4600     0.1157      0.4037      71.3522     0.0312      0.1334      76.6399     0.0301      0.0353      14.8123     
1555.0000   0.1265      0.3721      66.0160     0.2801      0.6806      58.8529     0.0535      0.2055      73.9453     0.0346      0.0404      14.2491     
1655.0000   0.1126      0.1640      31.3483     0.1186      0.6793      82.5343     0.0702      0.2577      72.7715     0.0512      0.0538      4.7825      
1755.0000   0.1433      0.2390      40.0132     0.2829      0.1904      -48.6423    0.0847      0.3160      73.1876     0.0249      0.0349      28.6498     
1855.0000   0.1380      0.3053      54.8015     0.3302      0.5676      41.8292     0.0232      0.1546      84.9932     0.0231      0.0673      65.7350     
1955.0000   0.1046      0.1423      26.4870     0.2308      0.3662      36.9757     0.0383      0.0507      24.4614     0.0321      0.0573      44.0326     
2055.0000   0.1486      0.1236      -20.2569    0.2894      0.1898      -52.4997    0.0365      0.0659      44.6194     0.0203      0.0185      -9.6150     
2155.0000   0.0803      0.1609      50.0984     0.1299      0.3616      64.0757     0.0399      0.1168      65.8857     0.0226      0.0277      18.0912     
2255.0000   0.1493      0.1540      3.0041      0.2783      0.3261      14.6634     0.0432      0.0288      -49.9721    0.0293      0.0233      -25.9857    
2355.0000   0.0606      0.1722      64.7841     0.1373      0.6049      77.3020     0.0265      0.1956      86.4632     0.0282      0.0378      25.5736     
2455.0000   0.0673      0.0678      0.6626      0.1357      0.1444      6.0063      0.0419      0.0713      41.2578     0.0245      0.0250      1.8295      
2555.0000   0.0830      0.1455      42.9534     0.1410      0.3229      56.3163     0.0314      0.0371      15.2191     0.0286      0.0553      48.1942     
2655.0000   0.0718      0.3813      81.1713     0.1360      0.7189      81.0820     0.0590      0.2814      79.0290     0.0332      0.0414      19.8980     
2755.0000   0.0976      0.1253      22.1444     0.1134      0.0907      -25.0611    0.0370      0.1775      79.1645     0.0436      0.0590      26.1379     
2855.0000   0.1908      0.8755      78.2091     0.3851      1.6062      76.0262     0.0929      0.5329      82.5625     0.0379      0.0346      -9.4457     
2955.0000   0.1344      0.1269      -5.8422     0.2358      0.2865      17.6883     0.0414      0.0458      9.6948      0.0386      0.0472      18.2104     
----------------------------------------------------------------------------------------------------------------------------------------------------------------
