================================================================
                VEHICLE DYNAMICS PREDICTION REPORT              
================================================================

1. OVERALL PERFORMANCE SUMMARY (Average over all samples)
---------------------------------------------------------------------------
Metric          | Kinematic    | NeuralNet    | Improvement
---------------------------------------------------------------------------
ADE             | 0.2032       | 0.1177       | +42.09%
FDE             | 0.3859       | 0.2184       | +43.40%
MAE_v           | 0.1277       | 0.0400       | +68.71%
MAE_w           | 0.0450       | 0.0310       | +31.13%
MAE_theta       | 0.0882       | 0.0551       | +37.57%
---------------------------------------------------------------------------

Note: 
  ADE = 平均位移误差,计算预测轨迹上这几十个点与真值点的平均欧氏距离。
  FDE = 终点位移误差,最后一步的位置误差
  MAE = 平均绝对误差

2. DETAILED SAMPLE LOGS
----------------------------------------------------------------------------------------------------------------------------------------------------------------
SampleID    NN_ADE      Kin_ADE     Imp_ADE     NN_FDE      Kin_FDE     Imp_FDE     NN_MAE_v    Kin_MAE_v   Imp_MAE_v   NN_MAE_w    Kin_MAE_w   Imp_MAE_w   
----------------------------------------------------------------------------------------------------------------------------------------------------------------
35.0000     0.1801      0.1837      1.9558      0.2932      0.3718      21.1442     0.0225      0.0456      50.7481     0.0235      0.0552      57.3532     
135.0000    0.1384      0.2907      52.4103     0.2418      0.3761      35.7080     0.0349      0.2171      83.9320     0.0188      0.0301      37.6620     
235.0000    0.1021      0.1360      24.9616     0.2037      0.3141      35.1448     0.0524      0.0633      17.2599     0.0373      0.0626      40.3287     
335.0000    0.1009      0.1069      5.6696      0.1802      0.2787      35.3177     0.0248      0.0503      50.6970     0.0297      0.0660      54.9389     
435.0000    0.1317      0.1331      1.0006      0.2554      0.2348      -8.7602     0.0259      0.0285      9.1481      0.0268      0.0399      32.9701     
535.0000    0.0881      0.0917      3.9581      0.2028      0.2155      5.9342      0.0310      0.0365      14.9348     0.0293      0.0327      10.4835     
635.0000    0.1419      0.1769      19.8162     0.2622      0.3241      19.0881     0.0291      0.0365      20.1534     0.0301      0.0342      12.0812     
735.0000    0.0656      0.0679      3.4602      0.1046      0.1200      12.8742     0.0457      0.0886      48.3837     0.0337      0.0304      -10.9338    
835.0000    0.1204      0.1032      -16.5953    0.1470      0.1626      9.5763      0.0319      0.0739      56.8186     0.0351      0.0657      46.5360     
935.0000    0.2036      0.6898      70.4832     0.4278      0.8964      52.2766     0.0664      0.2971      77.6559     0.0273      0.0674      59.4460     
1035.0000   0.2045      0.2160      5.2910      0.4169      0.4510      7.5589      0.0441      0.0846      47.8810     0.0234      0.0344      31.8643     
1135.0000   0.1114      0.1052      -5.9164     0.1798      0.2620      31.3721     0.0158      0.0274      42.3634     0.0236      0.0606      61.0624     
1235.0000   0.0936      0.0947      1.1779      0.1548      0.1858      16.6645     0.0335      0.0528      36.4446     0.0296      0.0496      40.2612     
1335.0000   0.1434      0.1473      2.6392      0.3169      0.3487      9.1098      0.0402      0.0376      -6.9382     0.0313      0.0341      8.3090      
1435.0000   0.0576      0.1102      47.6870     0.0896      0.3325      73.0488     0.0372      0.1606      76.8280     0.0287      0.0220      -30.5024    
1535.0000   0.0628      0.1641      61.7049     0.2001      0.4061      50.7164     0.0408      0.2350      82.6423     0.0270      0.0302      10.6662     
1635.0000   0.1702      0.4940      65.5512     0.3266      0.6420      49.1264     0.0562      0.2389      76.4753     0.0349      0.0468      25.5413     
1735.0000   0.1473      0.2966      50.3346     0.2528      0.4828      47.6391     0.0477      0.1915      75.1194     0.0276      0.0355      22.2321     
1835.0000   0.0836      0.2186      61.7669     0.1244      0.2875      56.7285     0.0393      0.2251      82.5372     0.0237      0.0323      26.8216     
1935.0000   0.1075      0.1439      25.3245     0.2592      0.4227      38.6923     0.0330      0.0596      44.6455     0.0265      0.0676      60.7417     
2035.0000   0.0995      0.1905      47.7809     0.3221      0.4053      20.5214     0.0414      0.1832      77.3912     0.0250      0.0297      15.5907     
2135.0000   0.1289      0.4930      73.8561     0.1340      0.5701      76.4882     0.0433      0.2043      78.7999     0.0234      0.0270      13.4556     
2235.0000   0.0863      0.1787      51.7074     0.2150      0.2835      24.1461     0.0674      0.0539      -25.0278    0.0346      0.0308      -12.2978    
2335.0000   0.1756      0.1737      -1.0915     0.2143      0.2253      4.8443      0.0325      0.0612      46.8899     0.0553      0.0619      10.6717     
2435.0000   0.0974      0.0846      -15.1131    0.2300      0.1444      -59.2728    0.0375      0.0829      54.7830     0.0245      0.0239      -2.4652     
2535.0000   0.0963      0.1529      37.0081     0.0925      0.3726      75.1799     0.0484      0.0624      22.4898     0.0330      0.0866      61.8519     
2635.0000   0.0458      0.1420      67.7187     0.0548      0.6562      91.6487     0.0369      0.2672      86.1943     0.0261      0.0374      30.2706     
2735.0000   0.0683      0.0984      30.5599     0.1357      0.0198      -586.0462   0.0474      0.1553      69.4941     0.0545      0.0597      8.7088      
2835.0000   0.0930      0.4043      76.9873     0.1850      1.3442      86.2398     0.0554      0.4646      88.0801     0.0424      0.0443      4.3925      
2935.0000   0.1842      0.2072      11.1101     0.3297      0.4415      25.3128     0.0368      0.0468      21.4590     0.0427      0.0510      16.2153     
----------------------------------------------------------------------------------------------------------------------------------------------------------------
